Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
3,0,0,1,0
3,0,0,1,0
2,0,0,1,0
2,0,0,1,0
3,0,0,1,0
4,0,0,1,0
2,0,0,1,0
4,0,0,1,0
10,0,0,1,0
4,0,0,1,0
3,0,0,1,0
3,0,0,1,0
2,0,0,1,0
3,0,0,1,0
4,0,0,1,0
3,0,0,1,0
20,0,0,1,0
2,0,0,1,0
4,0,0,1,0
10,0,0,1,0
3,0,0,1,0
3,0,0,1,0
10,0,0,1,0
3,0,0,1,0
10,0,0,1,0
